Cluster	Account	Program	SOW ID	Project Name	Project Type	Delivery Responsibilty	Technology	Leadership Attention Required	Risk Name	Risk Class	Risk Element	Risk Attribute	Risk Consequence	Project Impact	Client Impact	Mitigation / Contingency Plan	Risk Source									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0480-01-00	Equifax EWS AE UPS Squad-SOW29	Application Managment and Production Support Solution	Joint Managed	Microsoft	No	"Sonar and Fortify scans are performed, however, it is not mandated to address all open issues,"	A2.Product	B9.Quality	C1.Outstanding Issues / Clarifications 	Security issues will remain in application	Vulnerabilities will exist in the applications	Application securities	This attributed to legacy code which forms the core of the application. Currently blocker issues are being addressed and sonar vulnerabilities are getting reduced	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0480-01-00	Equifax EWS AE UPS Squad-SOW29	Application Managment and Production Support Solution	Joint Managed	Microsoft	No	65% of automation index would result in limited test coverage.	A2.Product	B7.Testing	C7.Regression Automation 	limited test coverage.	limited test coverage.	limited test coverage.	Increase the  automation index	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0480-01-00	Equifax EWS AE UPS Squad-SOW29	Application Managment and Production Support Solution	Joint Managed	Microsoft	No	"Requirement discussions take multiple iterations to get clarified,"	A1.Program	B12.Estimation	C6.Project Management Effort	consuming additional time for requirement elaboration/analysis.	Additional effort from Project team	Planned deliverables	PM to update the plan	DM Review									
UK	Experian Holdings Ltd	Experian UK	EXHL-0011-01-00	Bundle 1a (Team Size 24)	Application Managment and Production Support Solution	Joint Managed	Mainframe	No	No RCA for all P2 issue or all recuring issues handled	A1.Program	B6.Quality	C1.Reviews 	No permanent fix available or RCA	No permanent fix or RCA avaialble and can cause more frequent incidents	Frequent incidents	Prepare RCA for all recurring issues and P2 issues	DM Review									
UK	Experian Holdings Ltd	Experian UK	EXHL-0011-01-00	Bundle 1a (Team Size 24)	Application Managment and Production Support Solution	Joint Managed	Mainframe	No	Talent refresh happening frequently	A3.Team	B1.Expertise	C1.Domain Expertise 	"Affects  faster resolution,lacks system knowledge and maturity"	"Affects  faster resolution,lacks system knowledge and maturity"	SLA/MTTR	Increase the duration of talent refresh	DM Review									
Retail	H.E. Butt Grocery Company	H.E. Butt Grocery Company	HEBG-0006-04-22	HEB Production Support ODC FY	Production Support Solution	UST Managed	Java	No	Resource underutilization	A3.Team	B6.Resource Mix	C3.Role Requirements and Mapping	Resource attrition	Planned deliverables	[To be updated by PM]	"[To be updated by PM] To avoid this and key resource dependencies, talent refresh and cross skilling is required in a regular manner."	DM Review									
Retail	H.E. Butt Grocery Company	H.E. Butt Grocery Company	HEBG-0006-04-22	HEB Production Support ODC FY	Production Support Solution	UST Managed	Java	No	Problem backlog not getting reduced month on month	A2.Product	B11.Solution Approach	C4.Solution Alternatives	which may affect the system/application performance in long term and need to have plan on to reduce the same.	Application performance/reliability	[To be updated by PM]	[To be updated by PM]	DM Review									
UK	Hiscox Underwriting Group Services Limit	Hiscox	HISO-0019-03-00	Phoenix Application developmen	Agile Development Solution	Joint Managed	Others	No	"Due to old technology, attrition or change in scope is  difficult to manage."	A3.Team	B1.Expertise	C3.Programming Expertise 	difficult to get qualified resources. 	Delay in planned deliverables	Delay in planned deliverables	Create talent pool with same domain knowledge	DM Review									
UK	Hiscox Underwriting Group Services Limit	Hiscox	HISO-0019-03-00	Phoenix Application developmen	Agile Development Solution	Joint Managed	Others	No	Test coverage	A2.Product	B7.Testing	C7.Regression Automation 	May result in test coverage issues at certain stage of the project.esult in test coverage issues at certain stage of the project.	test coverage issues at certain stage of the project.	test coverage issues at certain stage of the project.	Automate the regression testing	DM Review									
UK	Hiscox Underwriting Group Services Limit	Hiscox	HISO-0019-03-00	Phoenix Application developmen	Agile Development Solution	Joint Managed	Others	No	GDPR Compliance	A1.Program	B11.Operations	C2.Contracts 	Result in GDPR compliance	Result in GDPR compliance	Result in GDPR compliance	Automate the same to avoid manual intervention	DM Review									
UK	Hiscox Underwriting Group Services Limit	Hiscox	HISO-0019-03-00	Phoenix Application developmen	Agile Development Solution	Joint Managed	Others	No	Silent defects in legacy applications can cause  spike in deffects during particular releases.	A2.Product	B9.Quality	C1.Outstanding Issues / Clarifications 	Can cause spikes in deffects during particular releases.	Spikes in deffects in releases	Spikes in deffects in releases	Need to  have retrospection on legacy application	DM Review									
India Strategic	Muthoot Fincorp Limited	Muthoot	MUTH-0004-02-00	Gold Loan Application	Agile Development Solution	UST Managed	Java	No	UST don?t have visibility to the way customer is doing the UAT testing	A1.Program	B9.Stakeholder Dependency	C1.Timelines and/or Quality of Reviews and/or Signoffs 	Shall bring up unexpected issues that may impact the UAT schedule and acceptance.	"Delay UAT,rework & signoff"	Delay in  sign off	Get the details of UAT from customer	DM Review									
India Strategic	Muthoot Fincorp Limited	Muthoot	MUTH-0004-02-00	Gold Loan Application	Agile Development Solution	UST Managed	Java	No	Single point of failure not factored in the management process to ensure no impact if any critical resource released/resigned.	A3.Team	B6.Resource Mix	C1.Team Structure	dependency with key reources	Planned deliverables	Delay in delivery	Factor the single point of failure and  plan the backup resources	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0100-01-00	EBA L2	Production Support Solution	UST Managed	DW-BI-ETL	No	Risk on contract extension	A1.Program	B9.Stakeholder Dependency	C4.Contractual / Verbal Commitment 	there is a risk of competitor taking over the support engagement 	Possibilty of losing the contract	Contract with new vendor	"With the current engagement strength, probability for this risk is medium to low "	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0100-01-00	EBA L2	Production Support Solution	UST Managed	DW-BI-ETL	No	"Once the tech stack change happens, there is risk of margin and EBITDA reduction. "	A1.Program	B11.Operations	C1.Financials 	Reduction in EBITDA	Reduced margin	NA	Train the exisitng resources with new technology stack	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0100-01-00	EBA L2	Production Support Solution	UST Managed	DW-BI-ETL	No	Customer started measuring SLO which has more aggressive timeline and difficult to achieve	A1.Program	B11.Operations	C2.Contracts 	Miss in SLOs	Service Credits	NA	Align the resources to meet the SLOs	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-01-00	GTM L2	Production Support Solution	UST Managed	Others	No	Scope of Services/activities to be performed and threshold values for each services are not defined	A1.Program	B2.Schedule	C4.Scope Coverage	Project might end up working beyond contract limitations which would affect the EBITDA percentage	EBITDA percentage will be impacted and resources will be overloaded	No impact to client	Shared the MSA/SOW contract details which has the threshold limit  	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-01-00	GTM L2	Production Support Solution	UST Managed	Others	No	Defined Fee at Risk not cascaed to all stakeholders	A1.Program	B11.Operations	C2.Contracts 	Service credit may have to be paid back to client	EBITDA % of the project will be impacted	SLA's will be missed	Penalty calculations has been shared from MSA which is 10% across each domain for a Monthly recurring charge and 15% for not meeting the CPI's	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	 Production tickets RCA and QE metrics are not captured	A1.Program	B8.Monitoring and Control	C1.Metrics 	which will not help us to determine the root cause of the issues and test coverage.	negatively impact quality of deliverable	negatively impact quality of deliverable	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	Test Coverage	A2.Product	B7.Testing	C3.Functional Coverage 	would result in limited test coverage.	will impact quality of deliverable	will impact quality of deliverable	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	 Increasing Regression Size	A2.Product	B7.Testing	C7.Regression Automation 	may result in test coverage issues at certain stage of the project	will impact quality of deliverable	will impact quality of deliverable	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	 Test Data Management	A2.Product	B7.Testing	C2.Test Data 	would result in GDPR non-compliance.	Compliance issue (To be updated by PM)	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	Scope Definition  	A1.Program	B11.Operations	C2.Contracts 	there is a potential contractual conflict scenario.  UST team maintains a good relationship with the customer leadership & is able to manage the situation. 	There is an opportunity to change the overall execution model as well. (To be updated by PM)	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	Project renewals of every 3 months	A1.Program	B11.Operations	C2.Contracts 	introduces a factor of stress across team members and dependencies on customer. 	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0101-03-00	GTM BCO for FY20	Agile Development Solution	UST Managed	Others	No	Estimation is done in person hours instead of complexity	A1.Program	B1.Size and Effort	C1.Estimation 	this poses a risk in cases of variable expertise across different / new team members or if project expands to more than one team.	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0109-01-00	Engg L2 - ActiveIQ Platform an	Application Managment and Production Support Solution	UST Managed	Java	No	Negative impact to EBITDA	A1.Program	B11.Operations	C1.Financials 	This can have a negative impact to EBITDA as more skilled associates are needed to manage the work.	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0109-01-00	Engg L2 - ActiveIQ Platform an	Application Managment and Production Support Solution	UST Managed	Java	No	 Key resource dependency	A3.Team	B2.Knowledge	C1.Application Knowledge 	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Hitech1	"NetApp, Inc."	"NetApp, Inc."	NETP-0109-01-00	Engg L2 - ActiveIQ Platform an	Application Managment and Production Support Solution	UST Managed	Java	No	 No monthly capping of tickets to resolve	A1.Program	B1.Size and Effort	C1.Estimation 	"As a result, If there is a spike in the ticket volume, it has to be managed by the addition of resources or by putting extra effort by the existing team members which can lead to additional cost."	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Other Semiconductor	Nokia	Nokia Solutions and Networks	NOKY-0186-01-00	Bharti Africa AM TBO	Production Support Solution	UST Managed	Others	No	Low EBITDA	A1.Program	B11.Operations	C1.Financials 	Low margin	"Can lead to negative margin ,if the trend continues due to higher cost to resources"	NA	Need to have a road map for increasing the net margin	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0005-01-00	Apollo	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Service credits option on contract  is ambiguously written 	A1.Program	B11.Operations	C2.Contracts 	UST ends up on the receiving end on penalty	Service Credit while invoicing	N/A	Relook on the contract terms to correct the same	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0005-01-00	Apollo	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Extention of service to 24X5 without CR	A1.Program	B11.Operations	C2.Contracts 	Scope creep and additional effort 	Scope creep and additional effort required	NA	Limit the service as per contract or get an additional CR	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0005-01-00	Apollo	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Critical resource mapping is not available.	A3.Team	B1.Expertise	C1.Domain Expertise 	Affects the deliverables if key resources put resignation	Agreed deliverables	Agreed deliverables	Identify the key resources and map the back up resources	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0005-01-00	Apollo	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Pricing drop  due to ARC/RRC change in coming years.	A1.Program	B11.Operations	C1.Financials 	 This affects the EBITDA improvement.	EBITDA improvement.	N/A	Optimise on the resource loading/Explore the possibilities for automation or effort reduction	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0005-01-00	Apollo	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Loading of additional onsite resources 	A1.Program	B11.Operations	C1.Financials 	 impacting % of net margin of the project. 	causing UST to source additional resources at onsite which is impacting % of net margin of the project. 	N/A	Need to revisit the decision 	DM Review									
FSG	State Auto Insurance Company	State Auto Insurance Company	STAI-0009-01-00	State Auto Infra -Enterprise D	Application Managment and Production Support Solution	UST Managed	Infrastructure	No	Defined SLAs are not there in report .	A1.Program	B8.Monitoring and Control	C1.Metrics 	SLA breaches	SLA breaches	SLA breaches	 Add such metrics could improve the visibility of team performance.	DM Review									
Telecom 1	"T-Mobile USA, Inc"	T Mobile	TMBL-0023-03-01	App Security Orchestration & A	Agile Development Solution	Joint Managed	Java	No	Nonfunctional testing isn?t performed on a regular basis.	A2.Product	B7.Testing	C4.NFR Testing 	Missing NFRs 	Failure in providing agreed NFRs	Expected NFRs in environment	Plan and conduct the NFRs and its testing on a regular basis.	DM Review									
Telecom 1	"T-Mobile USA, Inc"	T Mobile	TMBL-0023-03-01	App Security Orchestration & A	Agile Development Solution	Joint Managed	Java	No	Security testing comes at the tail end of the release process leading to a rushed finish may affect the quality deliverables	A2.Product	B10.Product Software Security	C1.Vulnerability 	Affects the quality of the deliverables due to rushed finish	Quality deliverables	Quality security testing	"Follow up T-Mobile Management on the importance of App Sec testing, so our team is involved ahead even during requirements/design phases to enable quality testing from our side."	DM Review									
UTC	UTC Otis Elevators	UTC Otis Elevators	UTCO-0002-03-00	OTIS - NE CRM Global Template	Iterative Development Solution	UST Managed	Microsoft	No	 Contractual commitments on System Application Performance are not tracked and reported	A1.Program	B2.Schedule	C4.Scope Coverage	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-00	Vanguard Charitable: Managed S	Application Managment and Production Support Solution	UST Managed	DW-BI - Reporting	No	 AllÿKPIsÿrelated to SLAs are not captured/tracked	A2.Product	B9.Quality	C2.Acceptance Criteria 	SLA  violation	SLA breaches	Application availabilty 	Track all the KPIs related to SLAs	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-00	Vanguard Charitable: Managed S	Application Managment and Production Support Solution	UST Managed	DW-BI - Reporting	No	Ticket backlogs are not getting reduced which may affect application performance	A3.Team	B4.Unavailability of Resources	C1.Unavailability of Resources with Required Skills	Application performance	Application performance/reliability	End user experience	"VC needs to prioritizeÿtheÿ ProblemÿManagement or need to add additional scope/FTE for fixing the same
"	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-00	Vanguard Charitable: Managed S	Application Managment and Production Support Solution	UST Managed	DW-BI - Reporting	No	No SLAs available with third party vendors	A1.Program	B3.Dependency	C2.Governance 	"The UST team is not aware of the SLAs that the vendor teams have with VCÿandÿwhich indirectly affects the overall SLAs with UST.ÿ
"	SLA breaches	Application availabilty/performance	"Understand the SLAs  with VNGC & thirdparty vendor,"	DM Review									
